EnhetNavn;Kommune;Engelsk;Lesing;Regning;lat;lng
Ljabruskolen - steinerskole for Elever Med Spesielle Behov Sti;Oslo;;;;;
Lofsrud skole;Oslo;47;45;45;;
Lycee Francais Rene Cassin Doslo;Oslo;54;50;54;;
Lønnebakken skole;Oslo;*;*;*;;
Majorstuen skole;Oslo;54;53;53;;
Manglerud skole;Oslo;56;55;54;;
Marienlyst skole;Oslo;54;54;54;;
Midtstuen skole;Oslo;54;56;56;;
Morellbakken skole;Oslo;54;56;55;;
Nordberg skole;Oslo;54;57;57;;
Nordpolen skole;Oslo;54;51;49;;
Nordseter skole;Oslo;53;54;54;;
Nordstrand ungdomsskole;Oslo;52;52;52;;
Norlights International School Oslo AS;Oslo;57;50;50;;
Nyskolen i Oslo grunnskole;Oslo;51;49;*;;
Oppsal skole;Oslo;55;55;55;;
Oslo kommune Språksenteret;Oslo;*;;*;;
Oslo montessoriskole;Oslo;56;*;55;;
Ris skole;Oslo;56;58;58;;
Rommen skole;Oslo;52;49;50;;
Rudolf steinerskolen i Oslo Sti;Oslo;47;47;47;;
Ruseløkka skole;Oslo;55;54;53;;
Ryenberget skole;Oslo;52;51;49;;
Sagene skole;Oslo;49;48;46;;
Skullerud skole;Oslo;51;50;50;;
Skøyenåsen skole;Oslo;54;55;53;;
Sofienberg skole;Oslo;52;51;48;;
Sollerudstranda skole;Oslo;;;;;
St Sunniva skole avd Undervisning;Oslo;54;52;50;;
Stasjonsfjellet skole;Oslo;53;52;53;;
Steinerskolen på Nordstrand;Oslo;47;53;46;;
Stiftelsen montessoriskolen Lyse;Oslo;*;49;51;;
Teglverket skole;Oslo;52;50;50;;
Tokerud skole;Oslo;50;48;48;;
Ullevålsveien skole;Oslo;*;*;*;;
Uranienborg skole;Oslo;56;56;55;;
Veitvet skole;Oslo;48;44;46;;
Vestre Aker skole;Oslo;*;*;;;
Vetland skole grunnskole;Oslo;;*;*;;
Voksentoppen skole;Oslo;*;*;*;;
Vollebekk skole;Oslo;53;54;51;;
Wang Ung Oslo AS;Oslo;51;55;57;;
Øraker skole;Oslo;55;55;55;;
Østmarka skole;Oslo;*;*;*;;
Årvoll skole;Oslo;53;53;54;;
Vikeså skule;Bjerkreim;51;52;53;;
Bokn skule;Bokn;46;47;49;;
Gamleveien skole;Eigersund;*;*;*;;
Hellvik skole;Eigersund;*;*;*;;
Husabø ungdomsskole;Eigersund;*;*;*;;
Lagård ungdomsskole;Eigersund;49;51;51;;
Samfundets skole Egersund;Eigersund;*;*;*;;
Dirdal skole;Gjesdal;*;*;*;;
Gjesdal ungdomsskole;Gjesdal;51;52;53;;
Kongstun Kristne friskole;Gjesdal;*;*;*;;
Oltedal skole;Gjesdal;*;*;*;;
Danielsen ungdomsskole Haugalandet AS;Haugesund;51;52;53;;
Haraldsvang skole;Haugesund;;;;;
Hauge skole;Haugesund;;*;;;
Haugesund Toppidrettsgymnas AS;Haugesund;50;55;56;;
Håvåsen skole;Haugesund;;;;;
Røvær skole;Haugesund;*;*;*;;
Skåredalen skole;Haugesund;*;52;*;;
Steinerskolen i Haugesund;Haugesund;49;48;43;;
Hjelmeland skule;Hjelmeland;49;51;51;;
Nærbø ungdomsskule;Hå;49;50;49;;
Ogna skule;Hå;50;51;53;;
Tryggheim ungdomsskule;Hå;48;50;50;;
Varhaug ungdomsskule;Hå;50;51;50;;
Vigrestad storskule;Hå;46;47;50;;
Bø ungdomsskole;Karmøy;51;49;50;;
Danielsen ungdomsskole Karmøy AS;Karmøy;*;*;*;;
Haugesund International School Sti;Karmøy;*;*;*;;
Skudenes ungdomsskole;Karmøy;49;49;49;;
Stangeland ungdomsskole;Karmøy;48;47;48;;
Vormedal ungdomsskole;Karmøy;49;49;50;;
Åkra ungdomsskole;Karmøy;49;48;47;;
Bore ungdomsskule;Klepp;49;49;50;;
Klepp ungdomsskule;Klepp;49;49;51;;
Orstad skule;Klepp;50;50;51;;
Kvitsøy skole;Kvitsøy;51;57;55;;
Lund ungdomsskole;Lund;47;48;49;;
Goa skole;Randaberg;51;51;52;;
Grødem skole;Randaberg;55;53;54;;
Harestad skole;Randaberg;49;53;52;;
Bogafjell ungdomsskole;Sandnes;51;52;53;;
Figgjo skole;Sandnes;51;47;51;;
Forsand skule;Sandnes;52;55;51;;
Forus friskole - Bus;Sandnes;55;53;61;;
Giske ungdomsskole;Sandnes;51;49;51;;
Høle barne- og ungdomsskule;Sandnes;55;60;58;;
Høyland ungdomsskole;Sandnes;52;51;52;;
Lundehaugen ungdomsskole;Sandnes;48;49;50;;
Lurahammaren ungdomsskole;Sandnes;54;53;54;;
Riska ungdomsskole;Sandnes;50;51;52;;
Sandnes friskole AS;Sandnes;48;50;51;;
Sandnes International School AS;Sandnes;*;*;*;;
Skeiane ungdomsskole;Sandnes;52;53;54;;
Vatneli skole;Sandnes;*;*;*;;
Wang Ung Sandnes AS;Sandnes;50;53;54;;
Øygard ungdomsskole;Sandnes;49;49;49;;
Sauda ungdomsskule;Sauda;48;48;48;;
Sokndal skole;Sokndal;49;48;49;;
Dysjaland skule;Sola;50;49;50;;
Kjerrberget ungdomsskole;Sola;52;51;52;;
Sola ungdomsskole;Sola;52;51;52;;
Tananger ungdomsskole;Sola;52;50;48;;
Austbø skole;Stavanger;51;48;50;;
Biss Gausel Sti;Stavanger;58;46;54;;
Biss Sentrum AS;Stavanger;*;*;*;;
Finnøy skule;Stavanger;*;52;53;;
Gautesete skole;Stavanger;52;51;51;;
Gosen skole;Stavanger;53;52;51;;
Hinna skole;Stavanger;52;53;52;;
Johannes læringssenter Flerspråklige Barn;Stavanger;*;;;;
Kannik skole;Stavanger;55;55;54;;
Kristen friskole AS;Stavanger;49;48;49;;
Kristianslyst skole;Stavanger;53;53;53;;
Lunde skole;Stavanger;50;48;48;;
Norlights montessoriskole Stavanger AS;Stavanger;*;*;*;;
Rennesøy skule;Stavanger;52;53;54;;
Revheim skole;Stavanger;50;49;51;;
Smiodden skole;Stavanger;52;49;51;;
St. Svithun skole;Stavanger;51;49;49;;
Stavanger Kristne grunnskole;Stavanger;*;*;51;;
Steinerskolen Stavanger grunnskole;Stavanger;51;50;49;;
Tastarustå skole;Stavanger;53;51;50;;
Tastaveden skole;Stavanger;51;50;50;;
Ullandhaug skole;Stavanger;52;51;52;;
Wang Ung Stavanger AS;Stavanger;53;56;56;;
Jørpeland ungdomsskole;Strand;47;45;46;;
Kfskolen - Jørpeland;Strand;53;46;51;;
Tau ungdomsskole;Strand;49;50;49;;
Tryggheim Strand AS;Strand;49;51;50;;
Sand skule avd skule;Suldal;48;51;53;;
Bryne ungdomsskule;Time;*;*;*;;
Frøyland ungdomsskule;Time;48;49;48;;
Jærtun Lutherske friskule;Time;*;*;*;;
Lye ungdomsskule;Time;*;*;*;;
Vardheia ungdomsskule;Time;51;50;52;;
Frakkagjerd ungdomsskole;Tysvær;48;48;50;;
Nedstrand barne- og ungdomsskule;Tysvær;50;50;50;;
Tysværvåg barne- og ungdomsskule;Tysvær;52;53;52;;
Skjold skule;Vindafjord;48;48;48;;
Vikedal skule;Vindafjord;46;51;51;;
Ølen skule;Vindafjord;48;50;48;;
Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku;Alle kommuner;50;50;49;;
Alta;Alta (2020 - 2023);50;51;50;;
Alta Kristne grunnskole SA;Alta (2020 - 2023);*;*;*;;
Alta ungdomsskole;Alta (2020 - 2023);51;50;51;;
Haldde montessoriskole SA;Alta (2020 - 2023);*;*;*;;
Rafsbotn skole;Alta (2020 - 2023);50;51;50;;
Sandfallet ungdomsskole;Alta (2020 - 2023);50;51;48;;
Talvik skole;Alta (2020 - 2023);*;*;*;;
Tverrelvdalen skole;Alta (2020 - 2023);*;*;*;;
Balsfjord;Balsfjord (2020 - 2023);50;48;47;;
Laksvatn oppvekstsenter avd skole;Balsfjord (2020 - 2023);*;*;*;;
Malangen skole;Balsfjord (2020 - 2023);*;*;*;;
Nordkjosbotn skole;Balsfjord (2020 - 2023);51;49;48;;
Storsteinnes skole;Balsfjord (2020 - 2023);48;44;43;;
Bardu;Bardu (2020 - 2023);49;50;52;;
Bardu ungdomsskole;Bardu (2020 - 2023);49;50;52;;
Berlevåg;Berlevåg (2020 - 2023);*;*;*;;
Berlevåg skole;Berlevåg (2020 - 2023);*;*;*;;
Båtsfjord;Båtsfjord (2020 - 2023);45;46;44;;
